countynum,countyname,sampsize,popsize,radon
73,Stearns,27,36000,3.7
73,Stearns,27,36000,5
73,Stearns,27,36000,3.3
73,Stearns,27,36000,3.3
73,Stearns,27,36000,14.5
73,Stearns,27,36000,1.3
73,Stearns,27,36000,1.8
73,Stearns,27,36000,5
73,Stearns,27,36000,1.5
73,Stearns,27,36000,1
73,Stearns,27,36000,5.7
73,Stearns,27,36000,7.4
73,Stearns,27,36000,2.2
73,Stearns,27,36000,7.5
73,Stearns,27,36000,2.6
73,Stearns,27,36000,7.4
73,Stearns,27,36000,10.1
73,Stearns,27,36000,5.5
73,Stearns,27,36000,5
73,Stearns,27,36000,4.7
73,Stearns,27,36000,2.6
73,Stearns,27,36000,4.9
74,Steele,10,11000,8.6
74,Steele,10,11000,7.3
74,Steele,10,11000,3.7
74,Steele,10,11000,2.9
74,Steele,10,11000,4.4
74,Steele,10,11000,8.4
74,Steele,10,11000,5.1
74,Steele,10,11000,10.6
74,Steele,10,11000,3.6
74,Steele,10,11000,1.5
75,Stevens,2,3700,8
75,Stevens,2,3700,4.5
76,Swift,4,4700,3
76,Swift,4,4700,2.4
76,Swift,4,4700,4.8
76,Swift,4,4700,1.5
77,Todd,4,9400,2.1
77,Todd,4,9400,1.3
77,Todd,4,9400,6.8
77,Todd,4,9400,6
78,Traverse,5,1700,2.9
78,Traverse,5,1700,19.3
78,Traverse,5,1700,4
78,Traverse,5,1700,1.1
78,Traverse,5,1700,7.1
79,Wabasha,7,7400,3.1
79,Wabasha,7,7400,5.9
79,Wabasha,7,7400,9.6
79,Wabasha,7,7400,9
79,Wabasha,7,7400,11.5
79,Wabasha,7,7400,8.4
79,Wabasha,7,7400,1.1
80,Wadena,5,5000,4.7
80,Wadena,5,5000,3.2
80,Wadena,5,5000,0.7
80,Wadena,5,5000,2.9
80,Wadena,5,5000,3.1
81,Waseca,4,6900,9.3
81,Waseca,4,6900,0.5
81,Waseca,4,6900,1.7
81,Waseca,4,6900,0.9
82,Washington,50,42400,10.2
82,Washington,50,42400,2.8
82,Washington,50,42400,7.7
82,Washington,50,42400,2.2
82,Washington,50,42400,20.4
82,Washington,50,42400,4.7
82,Washington,50,42400,1.7
82,Washington,50,42400,9.8
82,Washington,50,42400,6.5
82,Washington,50,42400,4.9
82,Washington,50,42400,2.5
82,Washington,50,42400,10.7
82,Washington,50,42400,1.8
82,Washington,50,42400,12.2
82,Washington,50,42400,2.4
82,Washington,50,42400,1.6
82,Washington,50,42400,1.9
82,Washington,50,42400,2.1
82,Washington,50,42400,0.8
82,Washington,50,42400,1.3
82,Washington,50,42400,1.3
82,Washington,50,42400,4.6
82,Washington,50,42400,1.2
82,Washington,50,42400,6
82,Washington,50,42400,4.7
82,Washington,50,42400,3.7
82,Washington,50,42400,2.4
82,Washington,50,42400,3.3
82,Washington,50,42400,6.6
82,Washington,50,42400,5.3
82,Washington,50,42400,1
82,Washington,50,42400,13.4
82,Washington,50,42400,8.5
82,Washington,50,42400,6.6
82,Washington,50,42400,1.9
82,Washington,50,42400,1.2
82,Washington,50,42400,2.9
82,Washington,50,42400,3.8
82,Washington,50,42400,6.2
82,Washington,50,42400,4.3
82,Washington,50,42400,3.8
82,Washington,50,42400,1.7
82,Washington,50,42400,1.8
82,Washington,50,42400,5.9
82,Washington,50,42400,6.5
82,Washington,50,42400,0.8
82,Washington,50,42400,4.3
82,Washington,50,42400,3
82,Washington,50,42400,12.7
82,Washington,50,42400,5.3
83,Watonwan,3,4700,10.2
83,Watonwan,3,4700,13.8
83,Watonwan,3,4700,5.7
84,Wilkin,1,2800,9.3
85,Winona,13,16100,0.7
85,Winona,13,16100,7.2
85,Winona,13,16100,4.1
85,Winona,13,16100,4.7
85,Winona,13,16100,10.2
85,Winona,13,16100,4.7
85,Winona,13,16100,11.3
85,Winona,13,16100,6.1
85,Winona,13,16100,3.4
85,Winona,13,16100,7.6
85,Winona,13,16100,11.8
85,Winona,13,16100,1.8
85,Winona,13,16100,0.5
86,Wright,14,21600,2.1
86,Wright,14,21600,15.9
86,Wright,14,21600,2.3
86,Wright,14,21600,4.5
86,Wright,14,21600,2.2
86,Wright,14,21600,5.1
86,Wright,14,21600,6.7
86,Wright,14,21600,6.4
86,Wright,14,21600,7.3
86,Wright,14,21600,9.5
86,Wright,14,21600,5.3
86,Wright,14,21600,5
86,Wright,14,21600,3.1
86,Wright,14,21600,8.7
87,Yellow Medicine,3,4600,3.7
87,Yellow Medicine,3,4600,2.9
87,Yellow Medicine,3,4600,3.7
