     GMT,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
13/09/94,19,22,19,20,26,31,30,29,31,31,32,33,35,34,35,33,32,32,32,32,33,33,33,31
14/09/94,31,29,30,30,31,29,29,29,30,33,34,35,34,32,33,34,34,34,34,35,34,33,33,34
15/09/94,35,36,36,37,37,36,35,34,35,34,35,36,37,35,35,35,35,34,35,35,35,33,33,34
16/09/94,34,32,32,31,31,32,34,33,32,33,33,34,33,34,35,34,33,32,31,29,28,29,31,30
17/09/94,32,30,33,35,35,36,37,35,37,36,36,36,38,38,38,37,36,33,29,24,23,21,17,16
18/09/94,13,12,11,15,15,14,10,10,14,27,34,38,38,39,37,33,33,35,32,27,29,26,21,17
19/09/94,21,19,16,16,13,11,13,14,15,16,17,17,21,21,18,16,14,13,11,10,7,5,6,23
20/09/94,29,23,27,28,26,25,22,24,27,32,29,28,27,25,24,26,35,37,40,39,38,36,35,37
21/09/94,38,37,36,33,35,35,32,31,31,33,36,36,36,37,38,37,37,24,12,8,11,11,6,3
22/09/94,3,3,6,4,3,4,5,5,10,14,21,23,35,35,36,36,35,30,24,14,11,14,11,17
23/09/94,15,15,15,13,4,3,5,5,10,14,21,32,33,48,44,44,39,29,21,12,6,9,5,6
24/09/94,6,4,9,9,14,14,11,    ,17,20,26,29,28,28,30,31,33,32,31,31,32,31,31,31
25/09/94,32,32,32,32,31,30,31,29,29,32,32,32,33,32,33,32,31,29,26,15,15,9,9,7
26/09/94,12,16,17,16,20,30,28,28,26,26,27,31,31,29,29,29,28,28,27,27,27,27,27,26
27/09/94,24,28,30,29,30,31,29,27,24,26,31,37,44,49,49,50,45,34,29,23,12,7,6,4
28/09/94,5,8,11,18,18,23,23,19,18,21,25,23,20,19,17,20,26,24,24,23,27,30,29,30
29/09/94,30,24,31,29,23,22,20,18,17,16,17,17,17,18,16,16,16,16,16,16,19,20,19,18
30/09/94,18,20,21,22,18,19,20,18,16,17,17,19,21,21,21,21,23,23,26,28,29,24,25,30
1/10/94,30,29,30,28,30,30,28,    ,26,24,25,27,25,24,23,20,18,14,11,12,14,18,17,16
2/10/94,18,21,18,    ,    ,    ,26,26,28,27,29,28,24,23,21,20,18,15,15,20,26,34,35,35
3/10/94,34,33,35,35,33,30,31,31,30,30,30,31,31,32,31,31,28,25,18,13,19,14,15,15
4/10/94,18,18,17,20,19,24,20,19,26,30,32,31,33,33,33,32,31,30,30,28,29,28,27,27
5/10/94,26,26,28,28,23,14,11,10,15,25,29,24,26,24,21,24,23,23,25,25,24,26,27,27
6/10/94,26,25,25,25,25,25,28,32,34,34,34,34,34,34,34,34,34,34,34,35,34,34,35,35
7/10/94,33,32,32,32,31,31,30,29,28,26,27,26,27,28,29,27,27,25,24,20,22,23,21,18
8/10/94,17,10,10,12,13,11,7,6,12,20,26,26,27,28,30,27,26,21,16,12,10,8,5,5
9/10/94,5,7,5,3,3,5,9,10,17,20,24,26,28,28,26,28,24,    ,7,5,6,5,7,5
10/10/94,3,3,5,4,3,    ,5,4,6,10,21,35,42,40,43,43,32,23,16,12,6,7,5,7
11/10/94,8,5,4,5,4,3,3,4,5,5,9,15,28,38,41,37,36,32,19,16,17,16,20,23
12/10/94,25,23,19,18,14,10,8,8,5,15,29,32,34,33,34,33,25,18,13,7,5,7,5,4
13/10/94,5,4,5,4,3,4,6,6,12,12,19,25,31,33,33,30,24,16,11,8,4,3,3,3
14/10/94,2,2,2,2,3,5,4,7,13,13,13,14,17,31,53,53,41,32,14,16,11,11,8,9
15/10/94,9,6,5,8,7,8,5,5,10,13,26,23,26,31,35,37,37,35,33,33,30,31,31,29
16/10/94,28,30,29,28,25,25,24,25,27,26,27,28,29,29,30,29,29,27,26,27,27,24,22,23
17/10/94,24,23,24,23,22,22,23,22,21,26,29,30,28,27,27,27,26,23,25,23,20,20,17,13
18/10/94,15,13,14,12,11,13,12,14,23,25,25,24,20,24,24,25,22,19,16,15,15,13,13,13
19/10/94,9,7,5,4,4,6,6,7,13,16,17,16,17,15,19,19,19,19,19,17,15,10,6,3
20/10/94,2,2,3,2,2,2,2,2,2,3,11,26,29,24,17,17,17,17,22,21,23,25,22,18
21/10/94,16,15,13,12,12,9,6,9,9,12,13,15,10,12,15,17,16,15,17,20,28,34,34,31
22/10/94,25,22,22,24,25,24,22,19,18,18,23,26,28,25,20,15,13,12,11,13,17,15,15,18
23/10/94,18,20,23,23,22,25,22,22,24,25,27,28,27,26,25,25,28,31,31,32,31,30,31,32
24/10/94,32,30,27,26,25,26,28,29,31,31,33,36,38,37,35,33,32,32,33,31,31,30,30,29
25/10/94,29,28,27,27,24,23,20,20,23,24,26,27,29,30,30,27,26,24,22,19,19,20,24,21
26/10/94,23,25,25,25,17,16,16,14,16,22,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
27/10/94,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,28,32,31,28,26,25,28,28,27,26,20,20
28/10/94,18,18,18,23,23,21,18,16,21,27,27,28,29,28,29,28,27,25,26,23,19,17,13,10
29/10/94,8,4,8,9,8,9,9,12,10,18,24,23,21,17,17,18,18,17,14,11,9,7,5,5
30/10/94,5,6,9,10,11,20,26,22,18,15,12,15,26,33,33,34,36,36,35,36,34,34,36,35
31/10/94,33,31,33,33,35,35,36,35,34,34,32,32,32,32,34,34,32,32,33,35,35,34,33,34
1/11/94,35,35,35,35,33,32,32,30,30,30,32,33,34,34,33,31,29,27,24,17,18,9,8,9
2/11/94,7,8,8,5,9,10,14,16,18,20,25,28,29,29,29,25,22,14,9,10,7,10,13,18
3/11/94,19,18,14,12,10,8,7,6,8,8,10,9,8,5,4,8,8,6,6,7,10,11,11,10
4/11/94,11,17,26,25,27,29,27,    ,19,22,23,21,19,20,25,24,21,14,11,10,6,6,7,8
5/11/94,9,12,12,12,11,14,16,17,19,17,16,14,11,10,10,7,5,7,12,13,15,18,22,23
6/11/94,23,23,23,23,23,23,20,16,17,19,24,26,29,28,27,27,25,18,14,15,13,11,12,11
7/11/94,12,8,9,10,8,10,8,14,13,18,23,28,29,26,24,21,15,12,10,12,9,8,7,6
8/11/94,7,8,12,13,14,13,11,11,13,15,18,18,17,16,18,12,12,9,8,11,8,11,8,6
9/11/94,7,6,6,6,8,9,11,13,12,12,13,15,18,18,15,20,18,21,16,11,15,21,17,13
10/11/94,16,16,15,15,15,13,12,11,10,8,11,13,16,18,17,17,18,17,16,15,12,15,14,15
11/11/94,15,14,14,15,17,17,15,14,11,14,14,14,14,14,12,12,10,10,8,7,6,5,6,8
12/11/94,6,5,2,1,2,2,2,4,2,3,11,13,12,11,9,7,5,5,3,3,2,2,1,4
13/11/94,4,13,15,24,27,27,25,30,31,34,34,35,33,31,30,29,33,33,32,30,31,30,32,32
14/11/94,28,26,29,30,31,32,34,34,33,34,33,32,32,32,32,    ,32,32,32,34,31,31,31,33
15/11/94,31,32,35,33,33,34,34,33,32,33,32,34,32,34,35,34,33,30,32,32,32,33,34,34
16/11/94,32,34,30,28,31,36,34,31,27,26,27,28,28,28,30,29,30,28,33,36,34,30,32,36
17/11/94,33,34,35,34,34,31,29,33,34,37,35,34,34,34,33,29,31,24,23,23,27,28,28,29
18/11/94,30,28,25,26,25,21,27,28,26,26,26,24,24,24,24,23,21,21,19,19,19,14,6,3
19/11/94,5,27,32,30,28,27,27,31,32,35,34,33,31,31,29,28,29,28,26,26,25,27,30,31
20/11/94,34,30,28,27,29,31,32,33,34,32,30,29,27,26,27,29,29,29,31,27,26,23,23,21
21/11/94,23,22,24,25,24,22,24,25,22,25,26,26,24,23,26,23,26,27,26,27,28,26,26,25
22/11/94,24,22,23,23,23,22,20,21,22,23,24,23,24,24,26,29,29,30,30,29,29,27,24,26
23/11/94,30,32,33,32,32,32,32,32,31,30,30,30,30,29,29,29,28,33,33,34,35,34,33,31
24/11/94,30,25,26,26,19,18,22,17,17,19,22,20,27,31,30,27,25,20,22,18,14,8,5,4
25/11/94,4,4,6,6,7,8,11,14,15,13,11,13,15,15,18,16,14,15,16,14,14,14,15,15
26/11/94,16,17,17,17,16,14,14,12,13,14,14,18,15,16,23,27,25,25,25,24,24,26,25,25
27/11/94,25,17,16,17,17,15,17,20,19,23,34,33,26,17,17,14,9,9,7,5,6,6,7,8
28/11/94,12,10,8,8,10,16,11,10,8,12,13,12,10,9,14,12,12,15,14,17,12,12,9,13
29/11/94,11,11,8,6,4,4,3,3,2,2,3,6,10,7,5,6,3,3,4,3,3,3,4,3
30/11/94,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,3,3,3,2,2,2,2,2
1/12/94,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,2,2,2,2,2,3,3,3
2/12/94,2,1,2,2,4,3,3,4,3,4,5,5,6,5,3,3,2,2,2,2,2,2,2,2
3/12/94,3,7,6,4,7,9,14,15,15,16,17,24,25,25,26,26,24,22,22,23,21,21,22,21
4/12/94,19,18,18,14,14,12,7,5,6,6,5,4,5,5,14,10,15,10,11,10,7,8,7,6
5/12/94,8,8,10,7,5,8,8,9,10,11,12,17,22,24,20,18,20,21,22,24,23,24,25,26
6/12/94,28,26,24,25,25,25,25,24,24,27,31,29,31,31,28,26,26,25,23,21,19,19,21,27
7/12/94,29,36,35,35,34,34,32,31,30,31,30,31,34,33,35,32,31,32,35,35,36,34,31,33
8/12/94,33,35,31,33,31,34,34,31,35,37,36,35,33,35,35,34,33,33,34,34,34,32,32,33
9/12/94,32,32,31,30,33,32,31,33,32,32,33,34,34,34,34,33,29,27,32,32,32,34,33,33
10/12/94,33,33,34,34,35,36,36,37,34,30,26,24,24,24,24,23,23,23,24,24,24,24,24,24
11/12/94,24,24,24,24,24,24,25,25,25,26,25,26,26,26,27,27,27,28,28,28,28,28,27,28
12/12/94,28,35,36,38,38,38,36,34,34,33,33,35,34,36,37,36,32,32,33,33,34,33,32,32
13/12/94,31,32,33,33,32,32,28,28,24,21,24,28,20,27,25,22,21,19,18,22,15,10,11,16
14/12/94,7,9,9,10,9,10,15,22,19,23,16,14,13,11,8,7,5,6,5,5,4,5,10,5
15/12/94,9,8,9,10,6,4,3,3,3,4,4,4,3,5,8,10,16,24,24,25,29,36,35,35
16/12/94,35,33,31,28,24,22,23,18,14,15,20,23,25,24,20,17,15,14,14,13,20,17,19,19
17/12/94,16,11,12,12,20,29,32,34,34,35,35,35,35,34,34,35,34,37,39,35,35,34,34,31
18/12/94,34,34,30,33,32,35,34,34,32,34,37,37,36,36,34,33,31,29,33,33,35,35,34,36
19/12/94,35,31,33,34,32,33,32,32,31,29,29,29,32,31,29,28,32,30,28,28,28,29,29,27
20/12/94,28,27,27,27,26,28,26,27,25,25,26,24,23,27,26,22,23,20,24,25,27,18,16,14
21/12/94,12,10,12,16,22,27,24,24,24,25,27,24,25,27,28,27,23,19,15,21,21,19,18,17
22/12/94,18,15,14,10,12,10,11,8,8,7,9,11,14,18,17,11,13,12,7,6,7,9,11,7
23/12/94,7,11,12,10,11,11,12,12,13,17,18,19,18,17,15,13,12,13,18,24,25,23,24,24
24/12/94,29,33,32,29,29,30,31,32,32,31,28,26,24,23,22,22,25,26,25,27,26,28,29,31
25/12/94,31,28,31,32,31,30,30,32,33,33,33,32,34,33,32,33,32,31,30,31,31,26,28,30
26/12/94,32,30,29,30,31,31,32,32,33,32,33,33,33,32,33,34,31,26,21,26,29,32,33,34
27/12/94,32,27,27,26,24,20,19,21,26,24,21,18,15,14,16,14,11,19,20,13,17,19,17,22
28/12/94,20,18,17,17,15,15,13,8,17,24,28,29,30,29,32,34,34,34,33,35,35,34,33,33
29/12/94,34,34,36,36,36,36,37,36,36,35,36,37,37,36,35,33,33,33,34,34,34,34,35,34
30/12/94,34,35,36,36,36,36,35,35,35,34,32,29,30,29,29,31,34,35,36,35,35,32,30,27
31/12/94,27,26,25,29,28,26,28,31,30,30,30,30,29,29,30,30,30,32,34,36,35,31,32,    
1/1/95,    ,32,32,32,31,33,35,35,35,35,34,34,34,34,34,34,35,34,35,36,36,36,36,37
2/1/95,36,36,35,36,35,35,35,34,34,34,34,34,34,35,33,32,30,24,25,21,20,19,20,18
3/1/95,18,13,14,14,16,15,16,17,14,15,17,15,21,21,17,10,10,12,14,18,20,19,18,16
4/1/95,16,19,16,15,15,14,14,13,13,14,14,14,14,13,12,13,11,11,10,9,9,10,10,11
5/1/95,14,14,12,14,15,16,17,23,29,30,37,35,32,30,30,30,29,29,26,29,28,26,24,24
6/1/95,23,23,22,22,22,26,25,26,27,32,32,31,31,31,31,27,25,21,18,13,10,8,7,8
7/1/95,7,8,9,14,20,25,30,32,32,31,31,30,27,25,25,24,23,21,23,23,24,24,23,27
8/1/95,34,35,35,34,33,34,32,23,24,22,26,29,30,30,31,31,31,31,31,33,33,33,31,26
9/1/95,25,27,29,30,30,29,32,33,33,34,36,36,36,36,36,36,36,34,33,33,34,35,35,34
10/1/95,34,35,36,36,36,37,37,36,35,33,28,27,25,26,23,23,27,31,32,30,21,20,19,21
11/1/95,20,26,31,28,27,33,32,30,30,28,31,30,30,31,29,26,26,28,28,26,27,27,28,28
12/1/95,28,27,26,27,28,30,31,28,27,26,21,19,21,14,15,18,16,11,18,18,20,19,24,25
13/01/95,25,23,21,19,17,15,14,14,14,13,12,11,12,15,16,14,17,21,19,24,25,23,21,23
14/01/95,23,25,26,29,29,30,33,33,33,31,    ,    ,31,36,35,33,29,26,21,16,13,13,11,12
15/01/95,10,13,12,16,11,10,15,13,16,20,21,20,27,34,34,35,34,34,34,35,35,34,34,34
16/01/95,34,34,34,34,35,35,35,35,35,35,35,34,35,34,35,34,33,33,33,31,30,29,31,34
17/01/95,35,35,34,33,32,32,30,30,32,32,32,24,19,19,16,17,26,35,38,38,37,37,39,39
18/01/95,38,37,36,36,35,35,34,34,33,33,32,32,33,33,34,33,31,29,25,27,32,31,28,29
19/01/95,31,35,35,34,31,29,28,29,29,27,28,28,28,28,20,14,22,29,25,20,21,18,19,30
20/01/95,32,31,29,29,29,28,29,35,36,36,33,31,35,34,33,34,31,29,29,29,30,31,32,33
21/01/95,33,34,34,34,34,33,33,30,29,29,30,31,30,25,24,25,28,32,29,25,25,31,39,37
22/01/95,37,37,37,37,36,36,35,35,35,35,35,34,33,35,35,35,33,32,32,33,31,33,32,33
23/01/95,33,33,32,30,28,32,31,31,31,32,31,30,31,31,31,32,34,31,30,30,30,30,31,31
24/01/95,31,31,32,31,31,33,33,32,30,31,30,31,31,30,30,28,26,27,26,28,25,24,21,19
25/01/95,19,18,12,16,19,19,16,16,14,14,14,16,15,15,14,16,20,22,22,25,21,21,22,24
26/01/95,29,32,32,34,34,34,34,32,31,28,29,32,31,30,29,22,25,23,24,27,30,30,30,30
27/01/95,30,27,26,27,22,22,19,15,22,19,21,23,27,28,30,28,14,14,11,11,11,10,9,7
28/01/95,6,17,24,22,25,30,31,31,30,29,28,30,30,30,31,30,30,28,24,23,16,14,25,28
29/01/95,26,21,23,23,23,23,23,21,25,28,29,30,32,33,33,33,33,33,34,33,33,33,34,33
30/01/95,31,30,31,30,30,30,27,26,27,24,26,27,29,29,29,23,17,18,21,14,9,10,5,4
31/01/95,5,8,15,22,32,35,39,39,38,38,39,37,36,36,37,37,36,37,38,36,34,34,32,32
1/2/95,33,33,33,32,32,32,33,32,31,31,31,32,32,33,35,34,32,32,30,31,32,33,31,30
2/2/95,29,28,18,18,14,14,15,13,12,12,12,16,20,21,28,29,25,24,30,32,32,31,33,35
3/2/95,35,36,37,38,38,38,38,37,35,35,34,35,34,34,31,31,30,31,32,32,31,30,31,29
4/2/95,30,30,29,31,36,36,36,35,35,35,34,35,35,35,35,35,34,31,26,23,19,22,23,25
5/2/95,31,31,29,29,31,31,33,33,35,34,33,33,32,32,32,30,29,28,27,27,30,31,32,34
6/2/95,32,25,26,24,25,27,29,30,30,30,30,30,28,30,30,31,30,31,30,29,33,34,34,34
7/2/95,36,37,34,37,39,37,36,35,32,32,33,34,36,35,37,32,24,21,19,16,19,19,20,28
8/2/95,30,30,30,29,29,31,32,32,33,32,31,31,31,32,32,31,28,27,28,27,27,26,24,22
9/2/95,23,24,23,25,25,25,25,25,25,27,30,31,30,29,29,29,26,25,27,27,27,28,26,25
10/2/95,26,27,27,28,28,28,27,27,28,28,28,27,26,25,22,20,19,18,18,17,16,14,11,9
11/2/95,6,6,3,3,2,2,3,3,4,8,15,23,23,20,16,14,24,33,35,40,42,41,36,36
12/2/95,36,35,37,37,37,36,34,33,32,34,35,37,39,40,40,39,39,38,37,36,35,34,34,34
13/02/95,32,28,25,25,28,30,28,25,25,29,32,32,28,26,33,39,39,37,36,37,35,34,33,32
14/02/95,31,31,31,31,32,32,31,28,27,29,30,32,32,32,33,34,35,32,26,29,35,36,39,41
15/02/95,39,40,40,38,41,39,38,36,37,37,36,37,37,38,38,37,36,35,36,37,36,34,34,34
16/02/95,34,32,32,33,34,35,37,37,36,37,38,38,38,38,35,33,32,31,29,27,27,28,35,37
17/02/95,35,33,34,33,33,32,29,28,27,29,29,34,33,35,35,33,32,28,28,27,27,30,33,34
18/02/95,32,28,29,31,30,28,25,25,27,31,31,31,33,33,33,34,38,39,39,40,40,40,40,37
19/02/95,35,33,33,33,34,33,33,33,34,34,35,35,35,35,35,36,34,32,34,34,34,36,36,37
20/02/95,39,36,36,33,31,32,30,28,27,31,34,36,36,35,35,34,32,29,25,25,24,24,21,33
21/02/95,34,32,30,28,29,31,32,33,32,31,30,29,30,31,34,34,34,34,34,32,33,35,34,36
22/02/95,35,36,36,37,37,38,38,39,39,38,40,40,40,39,39,38,35,34,33,32,32,31,32,34
23/02/95,34,33,31,32,35,35,35,35,34,34,33,35,35,35,35,35,31,31,27,25,23,19,16,15
24/02/95,12,15,15,13,13,12,11,8,6,5,11,19,26,26,24,27,26,26,27,26,21,21,20,24
25/02/95,23,21,20,27,32,33,33,31,34,34,35,36,35,35,34,33,30,24,19,22,24,27,24,23
26/02/95,20,17,18,18,21,19,15,18,17,17,21,35,34,35,35,35,35,32,28,25,28,30,25,26
27/02/95,29,27,24,27,35,34,33,31,28,26,27,28,30,29,27,29,30,28,28,29,29,27,27,28
28/02/95,30,32,33,34,38,39,39,39,37,36,36,35,32,31,31,32,33,36,37,38,40,40,38,36
1/3/95,37,34,35,33,31,25,27,29,30,32,31,32,34,34,35,34,32,31,25,20,21,33,32,31
2/3/95,34,    ,37,37,34,35,35,34,32,33,33,36,36,37,37,35,32,28,29,25,15,23,21,23
3/3/95,25,24,20,20,19,18,14,14,14,16,21,28,35,36,36,36,34,29,22,21,21,19,14,13
4/3/95,12,9,10,12,10,9,10,11,12,17,20,22,27,26,32,34,36,35,34,33,32,30,31,33
5/3/95,32,36,36,36,35,37,39,38,36,40,39,39,37,37,41,39,41,38,36,35,36,35,34,35
6/3/95,35,35,35,35,35,35,34,30,34,35,35,35,34,36,36,37,39,38,39,37,38,36,35,34
7/3/95,32,32,31,31,34,35,34,34,40,39,34,38,39,40,40,40,40,38,35,32,35,34,36,34
8/3/95,34,27,23,25,28,29,34,35,34,37,36,35,36,40,41,38,32,31,33,29,29,31,31,30
9/3/95,30,30,30,29,28,29,29,31,30,30,31,30,33,37,38,37,35,30,29,26,25,25,24,23
10/3/95,24,22,24,24,24,26,26,28,29,31,29,28,26,24,23,23,21,22,23,21,17,17,16,25
11/3/95,25,25,27,28,29,28,32,33,32,29,31,35,34,36,35,35,35,35,31,31,20,21,14,15
12/3/95,13,9,12,10,12,11,8,13,21,23,25,29,31,34,34,32,32,30,28,26,27,24,23,26
13/03/95,26,29,28,27,25,27,29,27,28,29,28,29,29,32,34,34,31,27,25,22,21,21,21,23
14/03/95,26,26,26,28,28,30,37,38,36,36,31,35,39,36,37,37,33,32,31,33,35,36,36,37
15/03/95,35,32,34,33,34,35,35,36,35,38,38,37,38,36,38,41,38,37,36,36,36,38,39,39
16/03/95,38,38,34,31,32,32,28,29,31,30,35,39,41,41,39,38,39,40,41,41,40,40,41,40
17/03/95,39,40,40,39,39,40,38,39,39,38,38,38,39,41,39,38,37,40,44,42,41,40,40,39
18/03/95,39,40,40,39,37,36,37,39,39,38,35,36,36,35,36,37,36,38,36,31,33,32,29,29
19/03/95,28,25,23,21,23,22,22,23,23,27,31,32,35,35,34,32,29,28,28,30,31,31,32,31
20/03/95,31,31,31,31,30,31,31,30,32,31,31,33,34,34,35,34,32,31,26,21,24,21,20,22
21/03/95,26,16,14,12,12,13,10,11,14,18,    ,    ,29,34,35,37,36,34,33,31,31,31,32,34
22/03/95,35,33,32,32,32,33,33,34,36,36,35,34,34,34,35,37,36,36,38,38,39,40,40,39
23/03/95,39,39,40,41,42,43,43,43,43,44,44,42,42,44,44,43,44,43,41,40,37,34,34,36
24/03/95,35,33,32,33,31,31,26,29,30,30,29,30,31,31,32,33,38,41,42,42,41,40,41,41
25/03/95,41,39,38,36,37,37,37,36,35,36,38,38,38,38,38,38,35,32,39,41,39,38,37,37
26/03/95,37,38,37,39,40,39,39,40,40,42,40,40,41,42,45,42,42,43,41,41,37,35,36,36
27/03/95,35,33,34,33,35,36,37,35,34,35,36,37,37,38,36,36,35,33,29,32,31,30,32,32
28/03/95,32,33,34,35,31,28,32,29,28,31,32,32,32,35,35,35,37,37,37,37,37,36,34,33
29/03/95,32,34,34,35,34,33,33,32,35,35,35,36,37,37,37,34,34,33,29,29,29,33,31,33
30/03/95,32,30,34,35,35,35,35,35,36,36,35,33,31,30,28,30,33,35,34,    ,33,32,32,33
31/03/95,34,35,35,34,32,31,30,30,30,34,39,39,40,39,37,36,36,36,36,33,31,27,28,28
1/4/95,25,24,26,29,30,30,29,30,32,32,33,33,32,33,32,32,32,31,31,30,28,28,24,20
2/4/95,16,16,18,19,19,19,18,18,19,22,31,34,36,37,38,38,38,37,36,37,39,44,45,45
3/4/95,43,41,39,38,37,36,36,36,36,36,38,41,41,40,39,38,38,38,38,38,38,36,34,35
4/4/95,37,35,31,27,22,20,21,29,30,34,35,38,39,38,32,32,33,33,32,30,30,26,32,33
5/4/95,31,32,33,32,34,33,35,30,29,33,34,35,35,35,35,37,36,35,35,33,31,29,29,36
6/4/95,36,43,45,45,42,35,36,40,40,40,40,39,40,39,39,37,34,30,28,31,33,31,27,22
7/4/95,27,33,33,37,39,39,39,41,40,40,39,40,40,40,40,39,34,34,32,30,24,22,20,18
8/4/95,20,19,18,18,13,17,13,13,25,29,30,30,30,32,33,36,33,33,31,15,14,12,9,7
9/4/95,6,4,4,3,4,2,3,6,25,24,25,28,29,31,31,33,31,25,28,30,26,26,31,33
10/4/95,34,34,35,38,35,39,40,40,40,39,39,41,41,36,37,40,39,34,33,34,31,29,32,32
11/4/95,31,26,26,27,28,26,24,28,30,32,36,43,44,41,38,37,39,39,36,36,37,38,38,39
12/4/95,34,34,23,18,16,16,15,22,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
13/04/95,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,43,44,47,49,48,45,32,16,16,13,11
14/04/95,7,6,7,5,7,6,11,15,17,35,37,37,41,47,47,44,41,41,42,42,43,44,43,41
15/04/95,41,40,40,37,38,37,37,37,39,37,38,40,42,45,44,45,44,41,39,38,38,39,39,38
16/04/95,38,41,42,43,44,43,42,43,43,43,43,42,41,41,42,43,41,39,37,40,41,41,43,44
17/04/95,44,46,45,42,41,40,45,47,46,47,44,42,42,40,42,41,40,39,38,32,37,39,37,36
18/04/95,38,38,38,36,36,34,34,35,35,35,33,32,31,31,31,31,29,32,30,29,24,20,15,14
19/04/95,13,19,21,24,27,27,27,34,36,35,35,35,35,35,35,36,35,33,31,31,31,31,30,30
20/04/95,30,30,31,32,33,32,29,35,36,38,39,38,36,37,38,33,33,32,27,25,20,19,18,20
21/04/95,20,21,22,23,20,17,18,32,35,35,35,33,35,36,37,33,34,31,29,22,21,12,14,15
22/04/95,16,20,20,21,27,28,29,29,29,34,42,46,52,49,48,47,47,49,48,49,49,49,49,48
23/04/95,46,44,41,37,32,33,31,29,31,34,39,39,40,39,40,48,47,46,41,29,24,31,31,34
24/04/95,36,36,40,38,35,37,42,40,39,42,41,41,41,40,40,41,41,44,47,49,51,50,48,46
25/04/95,46,46,46,45,44,44,44,43,43,43,43,43,41,41,41,41,42,42,41,41,42,41,40,42
26/04/95,41,40,42,42,43,43,44,44,44,44,45,45,46,47,48,47,46,46,    ,44,41,39,36,35
27/04/95,34,33,33,32,31,29,31,36,40,42,45,46,47,48,49,49,48,46,    ,37,28,24,23,22
28/04/95,22,21,22,24,22,19,17,22,45,48,49,49,49,49,48,46,47,44,    ,33,28,28,23,18
29/04/95,20,19,22,23,23,24,25,28,32,34,38,40,42,44,44,43,45,47,    ,36,34,27,25,23
30/04/95,21,15,13,11,10,11,13,14,15,16,23,32,36,39,41,43,45,45,    ,38,37,43,43,42
1/5/95,42,41,40,41,40,37,37,40,43,43,46,48,50,54,55,53,49,47,    ,34,24,17,19,18
2/5/95,21,21,22,19,18,15,16,29,43,49,53,55,59,59,58,57,58,57,    ,46,44,41,37,33
3/5/95,31,30,27,24,22,22,25,37,41,47,55,61,64,66,69,78,82,79,    ,61,55,41,37,36
4/5/95,32,18,19,25,18,13,10,24,57,76,76,80,82,84,83,82,81,80,    ,64,58,44,36,27
5/5/95,24,22,22,17,20,14,11,20,38,35,35,38,42,47,50,50,49,49,    ,39,38,28,26,24
6/5/95,22,24,22,21,21,19,14,25,34,39,40,44,43,46,47,48,48,48,    ,43,45,44,31,30
7/5/95,42,39,33,24,26,27,32,36,34,36,34,34,35,34,35,34,38,39,    ,41,41,40,39,38
8/5/95,37,40,40,38,36,37,36,35,37,39,38,38,38,37,36,36,35,33,    ,32,29,28,27,26
9/5/95,26,28,27,28,27,28,32,35,37,38,39,39,38,38,    ,35,36,35,32,30,27,27,20,23
10/5/95,32,31,32,32,35,35,35,36,36,36,37,39,40,40,40,38,37,37,37,36,34,28,24,21
11/5/95,20,23,24,25,29,31,35,39,39,39,40,41,41,40,40,40,41,40,38,29,24,25,29,27
12/5/95,25,24,22,22,20,17,24,28,33,    ,34,35,37,38,38,39,38,38,37,36,30,31,29,26
13/05/95,26,24,25,23,24,22,29,34,35,35,35,35,34,34,36,38,39,40,39,37,38,36,33,37
14/05/95,36,33,33,30,30,30,35,37,41,40,39,41,41,40,37,38,36,37,36,33,27,29,30,25
15/05/95,23,24,17,8,13,10,14,31,37,37,37,36,38,41,43,43,43,42,37,35,36,31,31,26
16/05/95,25,22,20,22,24,24,27,31,33,36,38,39,39,40,38,39,42,    ,37,38,39,37,32,35
17/05/95,36,31,29,28,25,32,33,33,34,39,41,41,43,41,43,44,42,42,41,32,21,21,16,18
18/05/95,18,14,13,10,9,7,12,31,35,35,34,37,35,36,38,37,37,36,33,32,32,28,27,30
19/05/95,28,33,34,32,29,27,29,30,37,35,41,41,41,38,41,41,42,41,37,36,35,36,33,33
20/05/95,35,34,32,33,31,35,37,38,37,37,34,36,37,36,37,34,35,35,34,30,24,13,15,16
21/05/95,12,9,9,8,11,13,19,21,28,36,38,42,44,45,45,44,42,42,41,40,38,35,37,36
22/05/95,34,36,35,33,28,28,31,36,38,41,46,50,51,49,48,48,48,46,47,47,46,40,31,31
23/05/95,23,23,24,24,20,24,25,30,36,42,51,61,62,68,73,74,73,73,70,57,48,38,34,26
24/05/95,28,33,33,33,30,31,37,39,45,45,47,48,65,73,73,74,80,70,54,48,51,52,50,43
25/05/95,42,53,38,36,34,33,31,28,29,29,30,32,35,35,37,36,36,36,35,32,28,23,19,11
26/05/95,5,11,10,11,15,22,29,30,29,31,32,34,34,37,39,39,38,36,32,30,26,25,26,25
